              Procedure           Image            Address        Calls Instructions
                  .fini   libgcc_s.so.1       7f48d382a998            1            3
   __cpu_indicator_init   libgcc_s.so.1       7f48d381ac00            1           89
                  .text   libgcc_s.so.1       7f48d381aab0            1          115
                   .plt   libgcc_s.so.1       7f48d381a7e0            1            5
                  _init   libgcc_s.so.1       7f48d381a7c0            1            6
                  .fini       libm.so.6       7f48d3aa21b8            1            3
                  .text       libm.so.6       7f48d3a33610            0           37
                   .plt       libm.so.6       7f48d3a33420            0            3
                  _init       libm.so.6       7f48d3a33400            1            6
_dl_mcount_wrapper_check       libc.so.6       7f48d3e6a070          128          512
               wctype_l       libc.so.6       7f48d3e32790            9          876
                  _Exit       libc.so.6       7f48d3df52d0            1            8
                  wctob       libc.so.6       7f48d3dd7bd0          128         2432
                  btowc       libc.so.6       7f48d3dd7a40          256         8064
                 rindex       libc.so.6       7f48d3dbe7c0            1           24
                 strlen       libc.so.6       7f48d3dbcac0           58          928
          _IO_file_sync       libc.so.6       7f48d3dac800            6           78
                 fflush       libc.so.6       7f48d3da1ee0            6          246
       __call_tls_dtors       libc.so.6       7f48d3d70860            1           12
         __cxa_finalize       libc.so.6       7f48d3d70550            3          231
           __cxa_atexit       libc.so.6       7f48d3d704c0            5          110
                   exit       libc.so.6       7f48d3d70290            1            4
                _setjmp       libc.so.6       7f48d3d6ab20            1            2
            __sigsetjmp       libc.so.6       7f48d3d6aa80            1           27
           __ctype_init       libc.so.6       7f48d3d64100            1           16
              uselocale       libc.so.6       7f48d3d63850            2           42
              newlocale       libc.so.6       7f48d3d62f70            1           40
      __libc_start_main       libc.so.6       7f48d3d55dd0            1           60
                  _init       libc.so.6       7f48d3d55c20            1          101
                  .text       libc.so.6       7f48d3d534a0            0          148
                   .plt       libc.so.6       7f48d3d533d0            1            5
                  .fini  libstdc++.so.6       7f48d41db7c4            1            3
_ZNSt14error_categoryC1Ev  libstdc++.so.6       7f48d41ce7c0            3           12
_ZNSt14error_categoryD2Ev  libstdc++.so.6       7f48d41ce630            3           12
 _ZSt15future_categoryv  libstdc++.so.6       7f48d41cdc30            1           21
_ZSt9has_facetISt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEEbRKSt6locale  libstdc++.so.6       7f48d41bf4c0            4           84
_ZSt9has_facetISt7num_putIwSt19ostreambuf_iteratorIwSt11char_traitsIwEEEEbRKSt6locale  libstdc++.so.6       7f48d41bf470            4           84
_ZSt9has_facetISt5ctypeIwEEbRKSt6locale  libstdc++.so.6       7f48d41bf330            4           84
_ZSt9use_facetISt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEERKT_RKSt6locale  libstdc++.so.6       7f48d41be230            4           76
_ZSt9use_facetISt7num_putIwSt19ostreambuf_iteratorIwSt11char_traitsIwEEEERKT_RKSt6locale  libstdc++.so.6       7f48d41be1e0            4           76
_ZSt9use_facetISt5ctypeIwEERKT_RKSt6locale  libstdc++.so.6       7f48d41bd5c0            4           76
  _ZNSt8messagesIwEC1Em  libstdc++.so.6       7f48d41bd130            1           19
_ZNSt11__timepunctIwEC2EPSt17__timepunct_cacheIwEm  libstdc++.so.6       7f48d41bc960            1           22
_ZNSt13basic_ostreamIwSt11char_traitsIwEE5flushEv  libstdc++.so.6       7f48d41b3210            3           42
          _ZNSo5flushEv  libstdc++.so.6       7f48d41b0fd0            3           42
_ZN9__gnu_cxx18stdio_sync_filebufIwSt11char_traitsIwEE4syncEv  libstdc++.so.6       7f48d41b06e0            3            6
_ZN9__gnu_cxx18stdio_sync_filebufIcSt11char_traitsIcEE4syncEv  libstdc++.so.6       7f48d41b06d0            3            6
_ZSt9has_facetISt7num_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEEEbRKSt6locale  libstdc++.so.6       7f48d41a4450            4           84
_ZSt9has_facetISt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEEEbRKSt6locale  libstdc++.so.6       7f48d41a4400            4           84
_ZSt9has_facetISt5ctypeIcEEbRKSt6locale  libstdc++.so.6       7f48d41a42c0            4           84
_ZSt9use_facetISt7num_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEEERKT_RKSt6locale  libstdc++.so.6       7f48d41a3690            4           76
_ZSt9use_facetISt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEEERKT_RKSt6locale  libstdc++.so.6       7f48d41a3640            4           76
_ZSt9use_facetISt5ctypeIcEERKT_RKSt6locale  libstdc++.so.6       7f48d41a27e0            4           76
  _ZNSt8messagesIcEC1Em  libstdc++.so.6       7f48d41a2350            1           19
_ZNSt11__timepunctIcEC2EPSt17__timepunct_cacheIcEm  libstdc++.so.6       7f48d41a1b80            1           22
_ZNSt9basic_iosIwSt11char_traitsIwEE4initEPSt15basic_streambufIwS1_E  libstdc++.so.6       7f48d4199f50            4           88
_ZNSt9basic_iosIwSt11char_traitsIwEE15_M_cache_localeERKSt6locale  libstdc++.so.6       7f48d4199e10            4          120
_ZNSt9basic_iosIcSt11char_traitsIcEE4initEPSt15basic_streambufIcS1_E  libstdc++.so.6       7f48d41997f0            4           88
_ZNSt9basic_iosIcSt11char_traitsIcEE15_M_cache_localeERKSt6locale  libstdc++.so.6       7f48d41996b0            4          120
_ZNSt6locale5facet18_S_create_c_localeERP15__locale_structPKcS2_  libstdc++.so.6       7f48d4198f00            1            9
_ZNSt11__timepunctIwE23_M_initialize_timepunctEP15__locale_struct  libstdc++.so.6       7f48d4197e60            1          105
_ZNSt11__timepunctIcE23_M_initialize_timepunctEP15__locale_struct  libstdc++.so.6       7f48d41974d0            1          107
_ZNSt8numpunctIwE22_M_initialize_numpunctEP15__locale_struct  libstdc++.so.6       7f48d4197270            1          349
_ZNSt8numpunctIcE22_M_initialize_numpunctEP15__locale_struct  libstdc++.so.6       7f48d4197040            1          413
